"Col0","pAc","smiles","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN16","MQN17","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN41","MQN42"
0,1.4,"CS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N",0.7769999999999999,73.74020000000002,114.56428642521352,103.24,289.32000000000005,289.063345592,7,2,2,1,7,0,8,20,31,0,0,3,3,0,0,3,0,0,0,0,0,0.08333333333333333,11.37154771864653,7.598875577420621,6.38540739639333,3.908124207886653,2.4511810009809087,5.707464039362366,4.369671821650482,2.8285591220991653,1.8578042652090063,-2.48,12.548579346949742,4.271932857984537,2.2052223872050924,5.733667477162185,34.255602911651415,9.837253136417502,0.0,0.0,41.68511539574183,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,19.582036743811077,0.0,4.895483475517775,11.98943666067359,36.78963192022406,11.126902983393991,21.432769638171724,5.733667477162185,4.9839785209472085,12.93319487794456,4.9839785209472085,5.098681808301038,0.0,23.762552697081826,30.409751390047628,4.895483475517775,0.0,15.484430357185229,5.948339280986494,0.0,0.0,12,0,0,0,0,1,1,4,2,0,20,4,2,8,8,2,9,7,2,1,0,0,4,0,0,1,9,6,0,0,0,1,2,0,2,1
1,1.5,"C1=CN2C(=NC(=N2)N)C=C1C3=CC(=CN=C3)S(=O)(=O)N",0.020899999999999808,72.00360000000002,113.67461251845812,129.26,290.3080000000001,290.05859456,8,4,2,2,7,0,9,20,30,0,0,3,3,0,0,3,0,0,0,0,0,0.0,10.948897987836157,7.08123748721558,5.703938620480437,3.609265717163968,2.3096395882093463,5.534918009294018,4.14251556301285,2.7289396251916056,1.8106237942851513,-2.52,12.510594217625405,4.250785541571084,2.1919868949390784,10.872641214770127,27.999833728140015,10.023291153407584,0.0,0.0,41.68511539574183,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,19.582036743811077,5.138973737607942,4.895483475517775,5.733667477162185,36.78963192022405,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,18.072168615552503,4.9839785209472085,5.098681808301038,0.0,23.762552697081826,24.153982206536224,0.0,4.895483475517775,5.647177220767728,15.97163043439408,0.0,0.0,11,0,0,0,0,1,2,4,2,0,20,4,2,8,8,2,10,8,4,2,0,0,4,0,0,1,9,6,0,0,0,1,2,0,2,1
2,1.5,"CC(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N",1.0601999999999998,86.08790000000002,132.9794103482433,115.27,332.38900000000007,332.10554475200007,8,3,4,2,7,0,9,23,39,0,0,3,3,0,0,3,0,0,0,0,0,0.21428571428571427,13.448897987836157,8.429878814698892,7.08747510751796,4.727129428371375,3.418763516843209,6.946715567104499,5.373494750944857,3.10156086226074,2.18033177049644,-2.52,15.378544851255683,5.595750884200668,3.148420549286585,10.455762341614273,34.041674557287976,10.023291153407584,0.0,13.847474399381248,41.68511539574183,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,24.304131608263162,0.0,24.784798704046985,5.733667477162185,36.78963192022406,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,17.655289742396647,4.9839785209472085,5.098681808301038,0.0,37.61002709646307,30.195823035684185,0.0,4.895483475517775,5.647177220767728,15.97163043439408,0.0,0.0,14,0,0,0,0,1,2,4,2,0,23,7,2,8,8,4,10,8,3,2,0,0,5,1,1,1,9,6,0,0,0,1,2,0,2,1
3,1.5,"CC1(CCN1S(=O)(=O)C2=CN=CC(=C2)C3=CC4=NC(=NN4C=C3)N)C",1.5465000000000002,93.21820000000002,144.9134349101026,106.48,358.4270000000001,358.12119481600007,8,2,3,1,7,0,9,25,43,0,0,4,3,1,1,3,1,1,0,0,0,0.3125,14.732974876519584,9.31524121789429,8.599424388776722,6.6663339282553284,4.817207774227057,7.875177889093648,6.737114112747162,4.590256603233259,3.0191578525410194,-2.52,15.975925021379158,5.236205544329436,2.555187687085203,5.733667477162185,44.388731377732164,10.023291153407584,0.0,20.268296022307258,41.68511539574183,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,23.88725273510731,0.0,30.702704750208376,12.27842388307476,36.78963192022406,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,12.93319487794456,9.289194512243443,5.098681808301038,0.0,44.030848719389084,36.23766386483214,0.0,4.895483475517775,5.647177220767728,15.97163043439408,0.0,0.0,16,0,0,0,0,1,1,5,2,0,25,6,2,12,8,3,10,8,2,1,0,0,5,0,0,1,11,7,1,0,1,1,2,0,2,1
4,1.5,"CC(C)(C(F)(F)F)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N",1.9926999999999997,91.08590000000001,151.84095867141855,115.27,400.38600000000014,400.09292938000016,8,3,4,2,7,0,12,27,42,0,0,3,3,0,0,3,0,0,0,0,0,0.26666666666666666,15.005441137674213,9.053449851238668,8.008166465435966,5.431812857729367,3.6418364481422385,7.570286603644275,6.32576422402645,3.80891092997494,2.2546894142627836,-2.73,19.04330825144697,6.1640056334134465,3.7099321716595894,10.455762341614273,39.71505749796683,10.023291153407584,0.0,13.847474399381248,41.68511539574183,0.0,16.77408020416172,19.119584424010952,0.0,0.0,21.589042127353398,24.304131608263162,0.0,30.45818164472584,5.733667477162185,36.78963192022406,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,12.93319487794456,22.877318528423753,5.098681808301038,0.0,37.61002709646307,24.153982206536224,0.0,10.43440872790112,5.647177220767728,15.97163043439408,0.0,6.176298517443475,15,3,0,0,0,1,2,4,2,0,27,11,2,8,8,4,10,8,3,2,0,0,8,1,0,3,9,6,0,0,0,1,2,0,2,1
5,1.6,"CNS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N",0.2815999999999995,76.87590000000002,120.24952611945007,115.27,304.33500000000004,304.074244624,8,3,3,2,7,0,9,21,33,0,0,3,3,0,0,3,0,0,0,0,0,0.08333333333333333,11.871547718646532,7.486503141724827,6.191593614241227,4.360757035141276,2.6372891024216543,6.003339894130434,4.305067227599782,2.9794367311840397,1.9198402990225885,-2.52,13.46247528076172,4.790561232480153,2.4344779512892782,10.455762341614273,35.047505710817205,10.023291153407584,0.0,0.0,41.68511539574183,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,24.304131608263162,0.0,4.895483475517775,12.781339459839375,36.78963192022406,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,17.655289742396647,4.9839785209472085,5.098681808301038,0.0,30.810224679759013,24.153982206536224,0.0,4.895483475517775,5.647177220767728,15.97163043439408,0.0,0.0,12,0,0,0,0,1,2,4,2,0,21,5,2,8,8,3,10,8,3,2,0,0,4,1,0,1,9,6,0,0,0,1,2,0,2,1
6,1.6,"C1=CC=C(C=C1)NS(=O)(=O)C2=CN=CC(=C2)C3=CC4=NC(=NN4C=C3)N",2.1742999999999992,97.8809,148.94167821111745,115.27,366.40600000000006,366.08989468800013,8,3,4,2,7,0,9,26,40,0,0,4,4,0,0,3,0,0,1,0,0,0.0,14.258299064594661,9.147186744247787,7.2514328001777715,5.085006385159239,3.5682412348010697,7.664023496653393,5.569030558768254,3.736712560089122,2.5222595781841757,-3.46,16.032583991576775,6.118192775269844,3.0702877713726964,10.455762341614273,27.99983372814001,10.023291153407584,0.0,0.0,72.01695073804989,0.0,16.77408020416172,11.635725555670057,0.0,0.0,8.417796984328938,19.582036743811077,0.0,4.895483475517775,10.455762341614273,67.12146726253211,11.126902983393991,27.306193929845367,5.733667477162185,9.706073385399296,12.93319487794456,4.9839785209472085,5.098681808301038,18.19910120538483,35.89528683400505,29.841368481219785,0.0,4.895483475517775,5.647177220767728,5.948339280986494,10.023291153407584,0.0,17,0,0,0,0,1,2,4,2,0,26,5,2,11,11,4,10,8,3,2,0,0,3,1,0,1,14,7,0,0,0,1,3,0,2,1
7,1.7,"C1=CC=C(C=C1)CNS(=O)(=O)C2=CN=CC(=C2)C3=CC4=NC(=NN4C=C3)N",1.8519999999999999,101.09790000000001,155.30662032551407,115.27,380.4330000000001,380.1055447520001,8,3,5,2,7,0,9,27,43,0,0,4,4,0,0,3,0,0,1,0,0,0.05555555555555555,14.96540584578121,9.604293525434334,7.67460913538778,5.3880857170882885,3.6646272839715173,8.12113027783994,5.907655904615382,4.019845496705993,2.6595274937881745,-3.3,17.13079577494424,6.782101910423896,3.6390285421397808,10.455762341614273,27.99983372814001,16.56804755932016,0.0,5.563451491696996,72.01695073804989,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,24.304131608263162,0.0,11.440239881430351,5.733667477162185,72.6849187542291,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,17.655289742396647,4.9839785209472085,5.098681808301038,30.33183534230805,29.32600418877882,30.6987386124488,0.0,4.895483475517775,5.647177220767728,15.97163043439408,0.0,0.0,18,0,0,0,0,1,2,4,2,0,27,6,2,11,11,5,10,8,3,2,0,0,3,2,0,1,14,7,0,0,0,1,3,0,2,1
8,1.7,"CCCNS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N",1.0617999999999999,86.10990000000001,132.9794103482433,115.27,332.38900000000007,332.10554475200007,8,3,5,2,7,0,9,23,39,0,0,3,3,0,0,3,0,0,0,0,0,0.21428571428571427,13.285761281019626,8.547163313504647,6.762233880437653,4.6808167766806585,3.2430150386002237,7.064000065910255,4.995280649665254,3.2527899783638348,2.121748944415445,-2.52,15.378544851255683,5.935017278811939,3.148420549286585,10.455762341614273,34.54459013405259,10.023291153407584,0.0,13.344558822616634,41.68511539574183,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,24.304131608263162,0.0,18.24004229813441,12.27842388307476,36.78963192022406,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,17.655289742396647,4.9839785209472085,5.098681808301038,6.923737199690624,30.183374320007832,30.6987386124488,0.0,4.895483475517775,5.647177220767728,15.97163043439408,0.0,0.0,14,0,0,0,0,1,2,4,2,0,23,7,2,8,8,5,10,8,3,2,0,0,4,3,0,1,9,6,0,0,0,1,2,0,2,1
9,1.9,"CCN(CC)S(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N",1.404,90.73720000000003,139.5543239492352,106.48,346.41600000000005,346.12119481600007,8,2,5,1,7,0,9,24,42,0,0,3,3,0,0,3,0,0,0,0,0,0.26666666666666666,14.232974876519584,8.96852235794097,7.124768833975216,5.758809324112796,3.9566323022030674,7.528459029140329,5.186833854033544,3.743596557841188,2.5086925641163793,-2.52,16.3417287103599,6.1736305319604625,2.8305293598666803,5.733667477162185,45.3945625312614,10.023291153407584,0.0,13.847474399381248,41.68511539574183,0.0,16.77408020416172,5.948339280986494,0.0,0.0,8.417796984328938,23.88725273510731,0.0,18.742957874899023,18.823180288987334,36.78963192022406,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,12.93319487794456,9.289194512243443,5.098681808301038,13.847474399381248,23.762552697081826,37.24349501836137,0.0,4.895483475517775,5.647177220767728,15.97163043439408,0.0,0.0,15,0,0,0,0,1,2,4,2,0,24,8,2,8,8,5,10,8,2,1,0,0,5,2,1,1,9,6,0,0,0,1,2,0,2,1
10,2.1,"C1=CN2C(=NC(=N2)N)C=C1C3=CC(=CN=C3)S(=O)(=O)NCC(F)(F)F",1.2141000000000002,81.87390000000003,139.11107444262535,115.26999999999998,372.3320000000001,372.06162925200005,8,3,4,2,7,0,12,25,36,0,0,3,3,0,0,3,0,0,0,0,0,0.15384615384615385,13.212547918860759,8.260556632425214,6.804188152888639,4.541582841213191,3.0642607091135634,6.777393384830822,5.03723492211624,3.173342620830892,2.062164167919891,-2.7299999999999995,17.104707195472443,5.9670278225437245,3.8539842031677094,10.455762341614273,40.72088865149607,10.023291153407584,0.0,0.0,41.68511539574183,0.0,16.77408020416172,19.119584424010952,0.0,0.0,21.589042127353395,24.304131608263166,0.0,11.071781992961249,12.27842388307476,36.78963192022405,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,17.655289742396647,18.155223663971668,5.098681808301038,0.0,23.762552697081826,24.153982206536224,0.0,11.440239881430351,5.647177220767728,15.97163043439408,0.0,6.176298517443475,13,3,0,0,0,1,2,4,2,0,25,9,2,8,8,4,10,8,3,2,0,0,6,2,0,2,9,6,0,0,0,1,2,0,2,1
11,2.1,"CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C(=C2)F)N",1.5894,90.66290000000002,143.50988786556613,115.27,364.40600000000006,364.1117730040001,8,3,3,2,7,0,10,25,42,0,0,3,3,0,0,3,0,0,0,0,0,0.26666666666666666,14.672161922466133,8.846235087493739,8.253964814151995,4.932415627115892,3.7197228767142163,7.363071839899345,6.571562572742479,3.2074516267454953,2.313938985665016,-2.59,17.240094112912335,5.742351950210029,3.5886229270606806,10.455762341614273,33.53875898052336,10.023291153407584,5.947697344197361,20.771211599071872,35.48827182412876,0.0,16.77408020416172,10.338754328661313,0.0,0.0,12.808212032003757,24.304131608263162,0.0,31.20562032697299,5.733667477162185,36.540485692808346,11.126902983393991,21.618807655161806,5.733667477162185,4.9839785209472085,13.139891848781026,13.889791462237651,5.098681808301038,0.0,38.46739722769209,29.5624309557681,0.0,4.895483475517775,5.647177220767728,21.91932777859144,0.0,0.0,15,1,0,0,0,1,2,4,2,0,25,9,2,8,8,3,10,8,3,2,0,0,7,1,0,2,8,7,0,0,0,1,2,0,2,1
