,target_id,pAc,smiles
2609,P00533,1.6,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
2610,P00533,1.72,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C(=C(C=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O
2611,P00533,1.96,C[C@@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC)O
2612,P00533,1.99,COC1=C(C=C(C(=C1)N2CCN(CC2)C(=O)N3CCNCC3)NC(=O)C=C)NC4=NC=C(C(=N4)C5=C6C=CC=CN6N=C5)Cl
2613,P00533,2.0,CN(C)CC(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC
2614,P00533,2.05,C[C@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC)N
2615,P00533,2.12,CNCC(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC
2616,P00533,2.19,C1=CC(=CC=C1CC(C#N)C#N)O
2617,P00533,2.22,COC1=C(C=C(C(=C1)N2CCN(CC2)C(=O)[C@@H]3CCCCN3)NC(=O)C=C)NC4=NC=C(C(=N4)C5=C6C=CC=CN6N=C5)Cl
2618,P00533,2.25,COC1=C(C=C(C(=C1)N2CCN(CC2)C(=O)[C@H]3CCCCN3)NC(=O)C=C)NC4=NC=C(C(=N4)C5=C6C=CC=CN6N=C5)Cl
2619,P00533,2.3,CN(C1=CN=CC=C1)C2=NC=C3C(=C2)C(=C(C=N3)C#N)NC4=CC(=C(C=C4)F)Cl
2620,P00533,2.52,C1=CC(=CC=C1/C=C/C(=O)O)O
2621,P00533,2.62,C1=CC(=CC=C1/C=C/C#N)O
2622,P00533,2.66,C1=CC2=C(C=CN2)C=C1C=C(C#N)C#N
2623,P00533,2.74,CS(=O)C1=CC=C(C=C1)C=C(C#N)C#N
2624,P00533,2.8,C[C@@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC)N
2625,P00533,2.82,C1=CC(=CC=C1C=C(C(=O)O)C(=O)O)O
2626,P00533,2.83,C1=C(NN=C1)C=C(C#N)C#N
2627,P00533,2.85,C(#N)C(=C1C(=O)NC(=O)NC1=O)C#N
2628,P00533,2.85,C1=CC(=CC=C1C=C(C#N)C#N)C#N
2629,P00533,2.87,C1=CNC(=C1)/C=C(/C#N)\C(=O)O
2630,P00533,2.89,C1=C[N+](=CC=C1C=C(C#N)C#N)[O-]
2631,P00533,2.89,C1=CC(=CC=C1/C=C(\C#N)/C(=O)O)[N+](=O)[O-]
2632,P00533,2.92,C1CC2=C(C=CC=C2O)C(=C(C#N)C#N)C1
2633,P00533,2.96,C/C(=C(/C#N)\C(=O)O)/C1=CC(=C(C=C1)O)OC
2634,P00533,2.96,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
2635,P00533,3.03,CN(C)C1CN(C1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC
2636,P00533,3.05,COC1=CC(=CC(=C1O)OC)C(=C(C#N)C#N)C#N
2637,P00533,3.07,C1=CC=C(C=C1)/C=C(\C#N)/C(=O)O
2638,P00533,3.07,COC1=CC(=CC(=C1O)OC)C=C(C#N)C#N
2639,P00533,3.08,COC1=CC=C(C=C1)/C=C(\C#N)/C(=O)O
2640,P00533,3.08,C1=CC(=CC=C1/C=C(\C#N)/C(=O)O)F
2641,P00533,3.09,C1=CC2=C(C=CN2)C=C1/C=C(\C#N)/C(=C(C#N)C#N)N
2642,P00533,3.1,C1=CC(=CC=C1/C=C(\C#N)/C(=O)N)O
2643,P00533,3.1,COC1=C(C=C(C=C1)C=C(C#N)C#N)F
2644,P00533,3.19,C1=CC(=CC=C1C=C(C#N)C#N)NC(=O)CCC(=O)O
2645,P00533,3.2,C1=CC(=CC=C1/C=C(\C#N)/C(=O)NCC#N)O
2646,P00533,3.22,C1=CC(=CC=C1C=O)C(=C(C#N)C#N)C#N
2647,P00533,3.22,COC1=CC=C(C=C1)NN=C(C#N)C#N
2648,P00533,3.22,C1=CC(=CC=C1C(=C(C#N)C#N)C#N)O
2649,P00533,3.23,CC(=CCC1=C(C=CC(=C1)C[C@]2(C(=C(C(=O)O2)O)C3=CC=C(C=C3)O)C(=O)OC)O)C
2650,P00533,3.25,C1=CC(=CC=C1C=C(C#N)C#N)O
2651,P00533,3.25,C1OC2=C(O1)C=C(C(=C2)C=C(C#N)C#N)[N+](=O)[O-]
2652,P00533,3.27,C1=CN=C(N1)C=C(C#N)C#N
2653,P00533,3.28,CCCCC(=CC1=COC2=NC(=NC(=C12)N)N)C3=CC=CC=C3OC
2654,P00533,3.3,CC(=C(C#N)C#N)C1=CC=C(C=C1)NC(=O)CCC(=O)O
2655,P00533,3.3,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC(=CC=C3)Cl)OC
2656,P00533,3.34,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C#N
2657,P00533,3.35,C1=CC(=C(C=C1C=C(C#N)C#N)O)[N+](=O)[O-]
2658,P00533,3.35,C1=CC(=CC=C1/C=C/C(=O)O)C=C(C#N)C#N
2659,P00533,3.35,CC1=C(N(C2=C1C(=NC=N2)NC3=CC(=CC=C3)Cl)C)C
2660,P00533,3.35,COC1=CC=C(C=C1)C(=C(C#N)C#N)O
2661,P00533,3.36,CN1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO
2662,P00533,3.36,CC1=CC(=CC(=C1O)C)C=C2C(=O)C=CC2=O
2663,P00533,3.37,C1=CC(=CC=C1C=C(C#N)C#N)C(=O)O
2664,P00533,3.4,C1=CC(=CC(=C1)O)C(=C(C#N)C#N)C#N
2665,P00533,3.43,C1=CC(=CC(=C1)O)C=C(C#N)C#N
2666,P00533,3.45,CN(C)[C@@H]1CCN(C1)C2=CC(=C(C=C2NC(=O)C=C)NC3=NC=C(C(=N3)C4=C5C=CC=CN5N=C4)Cl)OC
2667,P00533,3.46,C1OC2=C(O1)C=C(C=C2)C=C(C#N)C#N
2668,P00533,3.46,C1=CC(=CC=C1NC=C(C#N)C#N)O
2669,P00533,3.47,C1=CC(=CC=C1C(=C(C#N)C#N)O)O
2670,P00533,3.49,COC1=C(C=CC(=C1)/C=C(\C#N)/C(=O)O)O
2671,P00533,3.49,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C2C(=O)C=CC2=O
2672,P00533,3.56,C1C2=CC=CC=C2C3=C1N=C(N=C3NC4=CC=C(C=C4)F)N
2673,P00533,3.5699999999999994,CC1=C(C(=CC(=C1)C=C(C#N)C#N)OC)O
2674,P00533,3.58,COC1=CC(=CC(=C1O)OC)/C=C(\C#N)/C(=O)O
2675,P00533,3.59,C1=CNC(=C1)C=C(C#N)C#N
