,target_id,pAc,smiles
1381,O75116,2.49,COC1=C(C=C(C=C1)CC(=O)NC2=CC=CC(=C2)C(=O)NCCC3CCCNC3)OC
1382,O75116,2.77,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC=C(C=C3)C#N
1383,O75116,2.8,COC1=C(C=C(C=C1)NC(=O)NCC2=CC=CC(=C2)C(=O)NCCC3CCCNC3)OC
1384,O75116,2.89,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC=C(C=C3)OC
1385,O75116,3.16,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC(=C2)C(=O)NC3=CC4=C(C=C3)C=NC=C4)OC
1386,O75116,3.45,C1=CN=CC=C1NC(=O)C2=CC(=CN=C2)Br
1387,O75116,3.65,C1=CN=CC=C1NC(=O)C2=C(C=CN=C2)Cl
1388,O75116,3.92,C1=CC2=C(C=C1N)C=NN2
1389,O75116,3.96,C1CC(CNC1)CCC(=O)NC2=CC=CC(=C2)CNC(=O)NC3=CC=C(C=C3)C#N
1390,O75116,3.99,CN1CCCC(C1)CCNC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC(=C(C=C3)OC)OC
1391,O75116,4.19,C1CNCCC1CCNC(=O)C2=CC(=CC=C2)CNC(=O)NC3=CC=C(C=C3)C#N
1392,O75116,4.21,C1=CC=C(C=C1)NC(=O)NC2=CC3=C(C=C2)NN=C3
1393,O75116,4.24,CC1=C(C=CN=C1)C2=CN=C(C(=N2)N3CCCN(CC3)C)N
1394,O75116,4.25,C1=CC(=CN=C1)C(=O)NC2=CC=NC=C2
1395,O75116,4.28,CN1CCCN(CC1)C2=NC(=CN=C2NCCOC)C3=CC=NC=C3
1396,O75116,4.28,CN1CCCN(CC1)C2=NC(=CN=C2N)C3=CC(=NC=C3)N
1397,O75116,4.35,CN1CCCN(CC1)C2=NC(=CN=C2N(C)CCOC)C3=CC=NC=C3
1398,O75116,4.4,CC(=O)NC1=CC2=C(C=C1)NN=C2
1399,O75116,4.43,COC1=C(C=C(C=C1)NC(=O)CC2=CC(=CC=C2)NC(=O)CCC3CCCNC3)OC
1400,O75116,4.44,CN(C)C(=O)NC1=CC2=C(C=C1)NN=C2
1401,O75116,4.48,C1=CC=C(C=C1)C[C@@H](CO)NC(=O)NC2=CC=C(C=C2)C3=CC=NC=C3
1402,O75116,4.5,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCCNC(=O)CNCC(=O)NCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2
1403,O75116,4.5,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC(=O)CNCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N
1404,O75116,4.5,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCNC(=O)CNCC(=O)NCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2
1405,O75116,4.5,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CNC(=O)CNCC(=O)NCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2
1406,O75116,4.5,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC(=O)CNCC(=O)N[C@H](CCCCN)C(=O)NCCCCCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N
1407,O75116,4.51,C1=CC(=C2C=CNC2=C1)CNC(=O)NC3=NC(=CS3)C4=CC=NC=C4
1408,O75116,4.5299999999999985,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC(=C(C=C3)OC(F)(F)F)Cl
1409,O75116,4.57,C=C(N)NCCC[C@H](C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)C1=CC=C(C=C1)CNC(=O)CNCC(=O)NCCNS(=O)(=O)C2=CC=CC3=C2C=CN=C3
1410,O75116,4.66,CC[C@@H](C1=CC=CC=C1)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3
1411,O75116,4.7,C1=CC=C(C=C1)CCNC(=O)NC2=CC=C(C=C2)C3=CC=NC=C3
1412,O75116,4.79,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC(=O)CNCC(=O)N[C@@H](CCCCN)C(=O)NCCCCCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N
1413,O75116,4.8,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC=CC(=C4)C5CC5
1414,O75116,4.83,C1CC(CN(C1)CC2=CC=C(C=C2)SC3CC3)NC4=CC=CC5=C4C=CN=C5
1415,O75116,4.87,CN(C)CC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4
1416,O75116,4.91,C1CC(CN(C1)CC2=CC=C(C=C2)N3CCOCC3)NC4=CC5=C(C=C4)NN=C5
1417,O75116,4.91,C1CCN(C1)C2=CC=C(C=C2)CN3CCCC(C3)NC4=CC5=C(C=C4)NN=C5
1418,O75116,4.92,COC[C@@H](C1=CC=CC=C1)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3
1419,O75116,4.93,CS(=O)(=O)CC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4
1420,O75116,4.93,C1CC(CN(C1)CC2=CC=C(C=C2)C#CCCO)NC3=CC4=C(C=C3)NN=C4
1421,O75116,4.95,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)N(CCO)C4=CC(=CC=C4)Cl
1422,O75116,5.0,C[C@@H](C(=O)N1CCC(CC1)NC2=CC3=C(C=C2)NN=C3)O
1423,O75116,5.0,CC1=C(C=NN1C)CNC(=O)C2=CC3=C(C=C2)C4=C(CO3)C=NC=C4
1424,O75116,5.0,CC(C)OC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4
1425,O75116,5.0,C1=CC=C2C(=C1)N/C(=C(/C#N)\C3=NC(=NC=C3)NCCC4=CN=CC=C4)/S2.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
1426,O75116,5.03,C[C@@H](C1=CC(=CC=C1)OC)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3
1427,O75116,5.05,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC=C(C=C4)SC5CC5
