,target_id,pAc,smiles
7248,P04626,2.96,CCN(CC)CC(CNC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)O
7249,P04626,3.3,C1=CC=C(C=C1)CCCCNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7250,P04626,3.42,CN(C)CCNC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br
7251,P04626,3.48,CCOC(=O)C(CC1=CC=CC=C1)NC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7252,P04626,3.51,CCCCN1C2=C(C(=NC=N2)N)N=C1S(=O)(=O)C3=CC(=C(C(=C3)OC)OC)OC
7253,P04626,3.66,C1COCCN1CCNC2=NC=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)Br
7254,P04626,3.78,COC1=CC(=C(C=C1)NC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N)OC
7255,P04626,3.92,C1=CC(=C(C=C1Cl)SC2=NC3=C(N2)C(=NC=N3)N)Cl
7256,P04626,3.95,CC1=C(C(=CC(=C1)C=C(C#N)C#N)OC)O
7257,P04626,4.02,C1=CC=C2C(=C1)C(=CN2)C(=O)CN3C=NC4=C3N=CN=C4N
7258,P04626,4.03,C1CCN(CC1)C2=CC=C(C=C2)/C=C\3/C4=CC=CC=C4NC3=O
7259,P04626,4.04,C/C=C/C(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
7260,P04626,4.04,COC1=CC=CC(=C1)NC2=C3C4=C(C=CC(=C4)Br)NC3=NC=C2
7261,P04626,4.04,COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)N)SCCC(=O)O)O
7262,P04626,4.04,CC1=C\2C(=CC=C1)NC(=O)/C2=C\C3=CC=C(S3)SC
7263,P04626,4.04,C1CN(CCN1C=O)C2=CC=C(C=C2)/C=C\3/C4=CC=CC=C4NC3=O
7264,P04626,4.18,CC1=C\2C(=CC=C1)NC(=O)/C2=C\C3=CC=C(C=C3)N4CCOCC4
7265,P04626,4.18,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
7266,P04626,4.19,CC1=C(N=CN=C1NC2=CC(=C(C=C2)OCC3=CC(=CC=C3)F)Cl)C4=CC=CC=C4
7267,P04626,4.19,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)/C=C\2/C3=CC=CC=C3NC2=O
7268,P04626,4.23,CC1=C(C(=CC(=C1)C=C(C#N)C#N)O)O
