,target_id,pAc,smiles
29173,Q05397,3.71,COC1=CC=C(C=C1)CNC2=C3C4=CC=CC=C4OC3=NC=C2
29174,Q05397,3.81,C1C(=O)NN=C2N1C3=CC=CC=C3OC2
29175,Q05397,3.9,CC(=O)NC1=CC=CC=C1NC2=NC(=NC(=N2)C(F)(F)F)NC3=CC(=C(C(=C3)OC)OC)OC
29176,Q05397,4.04,CN1C2=CC=CC=C2N=C1C3=NC4=C(C=C3)C(=O)N(C(=O)N4C)C
29177,Q05397,4.16,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=C(C=C4)Cl
29178,Q05397,4.18,CNC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NS(=O)(=O)C
29179,Q05397,4.24,CC1=CC=C(C=C1)NC2=NC=CC(=N2)C3=NC4=CC=CC=C4N3C
29180,Q05397,4.24,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC(=N2)NC3=CC(=CC=C3)NS(=O)(=O)C)Cl
29181,Q05397,4.27,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)N(C)C
29182,Q05397,4.29,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)C
29183,Q05397,4.3,CN1C=C(C2=CC=CC=C21)C3=C(CNC3=O)C4=CC(=C(C(=C4)OC)OC)OC
29184,Q05397,4.37,COC1=CC(=CC(=C1OC)OC)C2=C(CNC2=O)C3=CN(C4=CC=CC=C43)COC5=CC=CC=C5
29185,Q05397,4.38,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC(=N2)NC3=CC=CC=C3NS(=O)(=O)C)Cl
29186,Q05397,4.38,CNC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC(=CC=C3)NS(=O)(=O)C
29187,Q05397,4.4,COC1=CC(=CC(=C1OC)OC)C2=C(CNC2=O)C3=CN(C4=CC=CC=C43)COCC5=CC=CC=C5
29188,Q05397,4.42,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=CC=C4
29189,Q05397,4.44,CC1=NC(=NC(=N1)NC2=CC(=C(C(=C2)OC)OC)OC)NC3=CC=CC=C3NC(=O)OC
29190,Q05397,4.46,COCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC
29191,Q05397,4.47,CC1=CC=C(C=C1)CSC2=NN=C(O2)CN3C4=CC=CC=C4N=N3
29192,Q05397,4.47,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC(=C(C=C4)F)F
29193,Q05397,4.52,COC1=CC=CC=C1/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-]
29194,Q05397,4.54,COC1=CC=C(C=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-]
29195,Q05397,4.54,CC1=CC=C(C=C1)C2=NN(C(C2)C3=CC4=CC=CC=C4C=C3)C(=S)N
29196,Q05397,4.55,CCOCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC
29197,Q05397,4.55,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC(=C(C=C4)Cl)Cl
29198,Q05397,4.55,CC(C)(C)OCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC
29199,Q05397,4.57,CC(C)OCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC
29200,Q05397,4.57,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=C(C=C4)OC
29201,Q05397,4.58,CC1=CC=C(C=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-]
29202,Q05397,4.61,COC1=CC=CC(=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-]
29203,Q05397,4.62,CN1C2=CC=CC=C2N=C1C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCOCC5
29204,Q05397,4.62,COC1=CC(=CC(=C1OC)OC)NC2=NC=NC(=N2)NC3=CC=CC=C3C(=O)NCCO
29205,Q05397,4.63,CC1=CC=CC=C1/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-]
29206,Q05397,4.63,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC=C(C=C4)Br
29207,Q05397,4.68,CC(=O)NC1=CC=CC=C1NC2=NC(=NC=N2)NC3=C(C=C(C=C3)OC)OC
29208,Q05397,4.69,CC1=C(C(=C(C(=C1COC)C=O)O)O)O
29209,Q05397,4.69,C1COC2=C(C=CC=C2O1)C(=O)OCCN3C(=CN=C3/C=C\C4=CC=CC=C4)[N+](=O)[O-]
