"target_id","pAc","smiles"
"O00329",1.4,"CS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N"
"O00329",1.5,"C1=CN2C(=NC(=N2)N)C=C1C3=CC(=CN=C3)S(=O)(=O)N"
"O00329",1.5,"CC(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N"
"O00329",1.5,"CC1(CCN1S(=O)(=O)C2=CN=CC(=C2)C3=CC4=NC(=NN4C=C3)N)C"
"O00329",1.5,"CC(C)(C(F)(F)F)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N"
"O00329",1.6,"CNS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N"
"O00329",1.6,"C1=CC=C(C=C1)NS(=O)(=O)C2=CN=CC(=C2)C3=CC4=NC(=NN4C=C3)N"
"O00329",1.7,"C1=CC=C(C=C1)CNS(=O)(=O)C2=CN=CC(=C2)C3=CC4=NC(=NN4C=C3)N"
"O00329",1.7,"CCCNS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N"
"O00329",1.9,"CCN(CC)S(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N"
"O00329",2.1,"C1=CN2C(=NC(=N2)N)C=C1C3=CC(=CN=C3)S(=O)(=O)NCC(F)(F)F"
"O00329",2.1,"CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C(=C2)F)N"
"O00329",3.725,"CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CC3=NC(=NN3C=C2)N"
"O00329",3.81,"CC(C1=NC2=C(C3CCCN3C(=S)N2C4=CC=CC=C4)C(=N1)N5CCOCC5)N6CCOCC6"
"O00329",3.92,"C1CC2C3=C(N=C(N=C3N4CCOCC4)CN5CCOCC5)N(C(=S)N2C1)C6=CC=CC=C6"
"O00329",4.0,"C1CCC(C1)N2C3=C(C(=N2)C4=CC5=C(C=C4)NC(=O)C=C5)C(=NC=N3)N"
"O00329",4.0,"C1CC1CN2C=CC(=CC2=O)C3=CC4=C(C=C3)N=C(S4)NCC5CCOCC5"
"O00329",4.0,"CC(C)(C)N1C2=C(C(=N1)C3=CC4=CC=CC=C4C=C3)C(=NC=N2)N"
"O00329",4.0,"CN1C2=C(C(=N1)C3=CC=CC(=C3)C4=CC=CC=C4)C(=NC=N2)N"
"O00329",4.0,"C1=CC(=CC(=C1)OCC2=C(C=CC=C2Cl)Cl)C3=C4C(=NC=NC4=NN3)N"
"O00329",4.0,"C1=CC(=CC=C1C2=C3C(=NC=NC3=NN2)N)[N+](=O)[O-]"
"O00329",4.0,"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)NC(=O)C=C4)C(=NC=N2)N"
"O00329",4.0,"CC(C)N1C2=C(C(=N1)C3=CN=CN=C3)C(=NC=N2)N"
"O00329",4.0,"C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=C4C(=NC=NC4=NN3)N"
"O00329",4.0,"C1CC2=CC=CC=C2CC1C3=C4C(=NC=NC4=NN3)N"
"O00329",4.0,"CN1C2=C(C(=N1)C3=CC=C(C=C3)OCC4=CC=CC=C4)C(=NC=N2)N"
"O00329",4.0,"C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C4C(=NC=NC4=NN3)N"
